2026-08-08 00:01:59.345 [Test worker] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-08-08 00:01:59.400 [Test worker] WARN  org.hibernate.orm.deprecation - HHH90000025: H2Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2026-08-08 00:02:01.272 [Test worker] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-08-08 00:02:02.637 [Test worker] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2026-08-08 00:02:04.313 [Test worker] INFO  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with UserDetailsService bean with name userDetailsServiceImpl
2026-08-08 00:02:05.080 [Test worker] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint beneath base path '/actuator'
2026-08-08 00:02:06.356 [Test worker] INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
2026-08-08 00:02:06.356 [Test worker] INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
2026-08-08 00:02:06.359 [Test worker] INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 2 ms
2026-08-08 00:02:06.481 [Test worker] INFO  c.t.m.a.c.AuthControllerIntegrationTest - Started AuthControllerIntegrationTest in 13.375 seconds (process running for 15.281)
2026-08-08 00:02:07.935 [Test worker] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.thesystem.TheSystemApplication for test class com.thesystem.modules.goal.controller.GoalControllerIntegrationTest
2026-08-08 00:02:07.997 [Test worker] INFO  c.t.m.g.c.GoalControllerIntegrationTest - Starting GoalControllerIntegrationTest using Java 21.0.12 with PID 191802 (started by naga in /home/naga/Workspace/Projects/THE-SYSTEM/Backend)
2026-08-08 00:02:07.998 [Test worker] DEBUG c.t.m.g.c.GoalControllerIntegrationTest - Running with Spring Boot v3.4.5, Spring v6.2.6
2026-08-08 00:02:07.998 [Test worker] INFO  c.t.m.g.c.GoalControllerIntegrationTest - No active profile set, falling back to 1 default profile: "default"
